GEO_ID,STATE,COUNTY,TRACT,NAME,PRED0_E,POPUNI,PRED12_E,PRED3_E,Poorest counties Risk 0,Poorest counties Risk 1-2,Poorest counties Risk 3 or more
1400000US72013300500,72,013,300500,"Census Tract 3005, Arecibo Municipio, Puerto Rico",125,1108,356,627,0,0,0
1400000US72013300700,72,013,300700,"Census Tract 3007, Arecibo Municipio, Puerto Rico",97,1210,477,636,0,0,0
1400000US72013300800,72,013,300800,"Census Tract 3008, Arecibo Municipio, Puerto Rico",397,4334,1798,2139,0,0,0
1400000US72013301000,72,013,301000,"Census Tract 3010, Arecibo Municipio, Puerto Rico",317,4538,2081,2140,0,0,0
1400000US72013301100,72,013,301100,"Census Tract 3011, Arecibo Municipio, Puerto Rico",609,6645,2550,3486,0,0,0
1400000US72013301200,72,013,301200,"Census Tract 3012, Arecibo Municipio, Puerto Rico",399,3359,1540,1420,0,0,0
1400000US72013301300,72,013,301300,"Census Tract 3013, Arecibo Municipio, Puerto Rico",362,2840,782,1696,0,0,0
1400000US72013301400,72,013,301400,"Census Tract 3014, Arecibo Municipio, Puerto Rico",222,1050,350,478,0,0,0
1400000US72013301500,72,013,301500,"Census Tract 3015, Arecibo Municipio, Puerto Rico",1072,5086,1597,2417,0,0,0
1400000US72013301600,72,013,301600,"Census Tract 3016, Arecibo Municipio, Puerto Rico",450,3963,2051,1462,0,0,0
1400000US72013301700,72,013,301700,"Census Tract 3017, Arecibo Municipio, Puerto Rico",511,4152,1710,1931,0,0,0
1400000US72013301800,72,013,301800,"Census Tract 3018, Arecibo Municipio, Puerto Rico",140,1594,604,850,0,0,0
1400000US72013301900,72,013,301900,"Census Tract 3019, Arecibo Municipio, Puerto Rico",263,4487,1536,2688,0,0,0
1400000US72013302000,72,013,302000,"Census Tract 3020, Arecibo Municipio, Puerto Rico",471,2600,1054,1075,0,0,0
1400000US72013302100,72,013,302100,"Census Tract 3021, Arecibo Municipio, Puerto Rico",645,4902,1937,2320,0,0,0
1400000US72013302201,72,013,302201,"Census Tract 3022.01, Arecibo Municipio, Puerto Rico",171,2305,801,1333,0,0,0
1400000US72013302202,72,013,302202,"Census Tract 3022.02, Arecibo Municipio, Puerto Rico",743,4184,1994,1447,0,0,0
1400000US72013302300,72,013,302300,"Census Tract 3023, Arecibo Municipio, Puerto Rico",175,2228,639,1414,0,0,0
1400000US72015280101,72,015,280101,"Census Tract 2801.01, Arroyo Municipio, Puerto Rico",237,2238,817,1184,0,0,0
1400000US72015280102,72,015,280102,"Census Tract 2801.02, Arroyo Municipio, Puerto Rico",578,5772,2931,2263,0,0,0
1400000US72015280201,72,015,280201,"Census Tract 2802.01, Arroyo Municipio, Puerto Rico",268,4198,1662,2268,0,0,0
1400000US72015280202,72,015,280202,"Census Tract 2802.02, Arroyo Municipio, Puerto Rico",958,5032,1746,2328,0,0,0
1400000US72017590100,72,017,590100,"Census Tract 5901, Barceloneta Municipio, Puerto Rico",1301,6693,2716,2676,0,0,0
1400000US72017590200,72,017,590200,"Census Tract 5902, Barceloneta Municipio, Puerto Rico",407,3696,1654,1635,0,0,0
